chemicalComposition,h2energy,ch4energy,h2senergy,n2energy,h2oenergy,hbind,nbind,obind,sbind,cbind
Ag12,0.3381553230438214,6.961600036965251,0.3831403664972868,3.1123935958876245,2.6381103317233965,0.3381553230438214,3.1123935958876245,1.9617996856357536,-0.293170279590356,5.608978744789965
Ag3Al9,0.3362416824411696,3.8329117199547222,-0.8866765487126713,-1.2086873576135986,-1.2470843891807135,0.3362416824411696,-1.2086873576135986,-1.9195677540630527,-1.5591599135950105,2.487944990190044
Ag3Au9,0.3214871259451968,5.951248020971548,0.3979079845977367,2.6628113294882496,2.9301197738294604,0.3214871259451968,2.6628113294882496,2.287145521939067,-0.2450662672926569,4.6652995171907605
Ag3Cd9,0.776154927943054,8.681552834264153,1.140841486290924,2.4046041406854783,2.5459048297251456,0.776154927943054,2.4046041406854783,0.9935949738390377,-0.41146836959518396,5.576933122491937
Ag3Co9,-0.3658450830543813,0.4768792300611721,-2.8017849010046803,-0.4114607503088336,-1.2346757258729897,-0.3658450830543813,-0.4114607503088336,-0.5029855597642271,-2.0700947348959176,1.9402595622786973
Ag3Cr9,-0.8646380488562215,-2.320658790434095,-4.76277273520634,-2.147431936917201,-4.134250313278358,-0.8646380488562215,-2.147431936917201,-2.4049742155659146,-3.033496637493897,1.1378934049907912
Ag3Cu9,-0.0537509186605973,3.630959577743056,-1.3637408161210942,1.283844791685624,0.5263457164163583,-0.0537509186605973,1.283844791685624,0.6338475537375529,-1.2562389787998995,3.8459632523854452
Ag3Ga9,0.6736503251386523,6.255115911642065,0.7398886838801673,0.8358697655839933,1.590274226114957,0.6736503251386523,0.8358697655839933,0.24297357583765233,-0.6074119663971373,3.5605146110874557
Ag3Hf9,-1.0657516725577525,-3.34844241883809,-5.6020158959089486,-3.1623172334129777,-5.990121251577989,-1.0657516725577525,-3.1623172334129777,-3.858617906462484,-3.4705125507934436,0.9145642713929201
Ag3In9,0.6964427164430447,7.14173450046394,0.886218445093732,1.6915662897863513,1.9438826222266243,0.6964427164430447,1.6915662897863513,0.550997189340535,-0.5066669877923573,4.355963634691761
Ag3Ir9,-0.345902403953886,-0.5755936948252156,-3.1818599048982605,-0.925348823011518,-0.6531115805647687,-0.345902403953886,-0.925348823011518,0.03869322734300329,-2.4900550969904884,0.8080159209903284
Ag3La9,-0.7339733372600392,-1.2607760684467166,-4.745411871912324,-2.446800017214628,-4.757758901281818,-0.7339733372600392,-2.446800017214628,-3.2898122267617396,-3.277465197392246,1.6751172805934402
Ag3Mo9,-0.9597363930579093,-2.630615364144319,-4.9217589187118165,-1.9707793063116696,-4.0864297071804,-0.9597363930579093,-1.9707793063116696,-2.166956921064582,-3.002286132595998,1.2083302080873182
Ag3Nb9,-1.039290914660313,-3.351148998851272,-5.219456764314487,-2.647166824515807,-4.915593635383743,-1.039290914660313,-2.647166824515807,-2.837011806063117,-3.140874934993861,0.8060146597899802
Ag3Ni9,-0.3702986341586154,0.4286575288580252,-2.7844671680048805,-0.1954336555081681,-0.907673940675636,-0.3702986341586154,-0.1954336555081681,-0.16707667235840518,-2.0438698996876496,1.9098520654924869
Ag3Os9,-0.38174877635808,-0.7768757574366418,-3.626557319910603,-1.5035006605121453,-1.7649824672790828,-0.38174877635808,-1.5035006605121453,-1.0014849145629228,-2.863059767194443,0.7501193479956783
Ag3Pb9,0.6533934907429568,7.997918107962619,0.9361773210895308,2.1623932998863893,2.31454942622247,0.6533934907429568,2.1623932998863893,1.0077624447365565,-0.3706096603963829,5.384344144990791
Ag3Pd9,-0.2910649347604419,1.269558951332442,-1.8966821637276323,1.0633802004867905,0.8135264984065316,-0.2910649347604419,1.0633802004867905,1.3956563679274154,-1.3145522942067487,2.4338186903742094
Ag3Pt9,-0.3025258254556036,0.5027684130701573,-2.3855417498033376,0.4966417697851284,0.6691264327290583,-0.3025258254556036,0.4966417697851284,1.2741780836402654,-1.7804900988921304,1.7128717148925716
Ag3Re9,-0.6690813977611185,-1.664919814057498,-4.345816237515351,-1.6134781896125787,-2.9269382186849957,-0.6690813977611185,-1.6134781896125787,-1.5887754231627587,-3.0076534419931136,1.0114057769869762
Ag3Rh9,-0.450878344657184,-0.56819804923623,-3.273027156907005,-0.6279127509133104,-0.785723402879853,-0.450878344657184,-0.6279127509133104,0.11603328643451505,-2.371270467592637,1.235315329392506
Ag3Ru9,-0.4305786523536596,-0.7004455111226662,-3.621963630399364,-1.257722135314907,-1.7647468168671594,-0.4305786523536596,-1.257722135314907,-0.9035895121598402,-2.7608063256920445,1.0218690982919723
Ag3Sc9,-1.1699184827584477,-3.3184248613423506,-5.986587445409782,-3.056820467014404,-6.419928053177614,-1.1699184827584477,-3.056820467014404,-4.080091087660719,-3.6467504798928867,1.36124906969144
Ag3Sn9,0.6960582195397649,7.437163868949142,0.9661931102838252,1.524669892687598,2.0507702985177048,0.6960582195397649,1.524669892687598,0.658653859438175,-0.4259233287957046,4.652930990790082
Ag3Ta9,-1.0373963221563542,-3.679017602934323,-5.315746287304023,-3.048191465013588,-5.169215570275014,-1.0373963221563542,-3.048191465013588,-3.0944229259623057,-3.2409536429913146,0.4705676856910941
Ag3Tc9,-0.6613775828581936,-1.4453772803452694,-4.2018647513085625,-1.4438663685086794,-2.798073404077627,-0.6613775828581936,-1.4438663685086794,-1.4753182383612398,-2.8791095855921753,1.200133051087505
Ag3Ti9,-1.1141933780590705,-3.3764999404473883,-5.585119939312676,-2.978902574015592,-5.931931611781806,-1.1141933780590705,-2.978902574015592,-3.703544855663665,-3.3567331831945353,1.0802735717888936
Ag3Tl9,0.6428769712411224,8.455391131953661,0.8682781157859836,2.7947688538861257,2.492308063718042,0.6428769712411224,2.7947688538861257,1.206554121235797,-0.41747582669626127,5.883883246989171
Ag3V9,-1.023126536357239,-3.189948216836342,-5.097712488908542,-2.7183216001121764,-5.067836022075539,-1.023126536357239,-2.7183216001121764,-3.0215829493610613,-3.0514594161940636,0.9025579285926142
Ag3W9,-1.0488953087578636,-3.3353912951414486,-5.187231547310034,-2.3043044764144724,-4.422581320277573,-1.0488953087578636,-2.3043044764144724,-2.3247907027618453,-3.089440929794307,0.8601899398900059
Ag3Y9,-1.0834441061587938,-2.6898103284464696,-5.81528362031338,-2.768299252313227,-6.029728237079439,-1.0834441061587938,-2.768299252313227,-3.8628400247618515,-3.6483954079957925,1.6439660961887057
Ag3Zn9,0.5287924280355867,6.618072234633587,0.1123579809810735,1.2784595227767568,1.1972701413086495,0.5287924280355867,1.2784595227767568,0.13968528523747614,-0.9452268750900998,4.50290252249124
Ag3Zr9,-1.0387228770586887,-3.0562626334384504,-5.41909457880854,-2.8987808311121626,-5.637422668174736,-1.0387228770586887,-2.8987808311121626,-3.5599769140573585,-3.3416488246911626,1.0986288747963044
Ag6Al6,0.3565099457419194,4.944198106358385,-0.67218961801143,-0.1079501448130031,-0.6480795155786154,0.3565099457419194,-0.1079501448130031,-1.3610994070624542,-1.3852095094952688,3.5181583233907077
Ag6Au6,0.319611853440648,6.228247119347657,0.3877079333852862,2.790709595579756,2.80781358311458,0.319611853440648,2.790709595579756,2.168589876233284,-0.25151577349600984,4.949799705585065
Ag6Bi6,0.5529278370459281,7.506389901676016,0.7138944654017223,2.185170588787514,2.386154958532529,0.5529278370459281,2.185170588787514,1.2802992844406726,-0.39196120869013384,5.294678553492304
Ag6Cd6,0.5179861071456173,7.569756370875552,0.6618650748006303,2.602914719789624,2.28253115142968,0.5179861071456173,2.602914719789624,1.2465589371384453,-0.37410713949060437,5.497811942293083
Ag6Co6,-0.2369697921594422,1.4187045460795389,-2.3459323154000917,0.0072051662918966,-0.7050819226661815,-0.2369697921594422,0.0072051662918966,-0.23114233834729714,-1.8719927310812072,2.366583714717308
Ag6Cu6,0.0519798657487911,4.342100795192096,-1.0643000812905257,1.6302906069886376,0.9483759124394736,0.0519798657487911,1.6302906069886376,0.8444161809418914,-1.1682598127881079,4.134181332196931
Ag6Fe6,-0.307076657357328,1.2394219352655682,-2.4791301346102728,-0.1168734379116358,-1.1374982957732982,-0.307076657357328,-0.1168734379116358,-0.5233449810586422,-1.8649768198956167,2.4677285646948803
Ag6Ga6,0.5760452682452808,6.377440062374376,0.5535048545954169,1.2827605540860532,1.5038952258308882,0.5760452682452808,1.2827605540860532,0.3518046893403266,-0.5985856818951447,4.073258989393253
Ag6In6,0.6587715486394075,7.26080552934684,0.8786817078818103,1.8383623177851405,2.176454238213296,0.6587715486394075,1.8383623177851405,0.858911140934481,-0.4388613893970046,4.62571933478921
Ag6Ir6,-0.3156479711605868,0.4791334212505944,-2.366601810410316,-0.1367127137145871,-0.2259891823797488,-0.3156479711605868,-0.1367127137145871,0.4053067599414248,-1.7353058680891422,1.7417253058929416
Ag6La6,-0.557652413556724,-0.3143018240324409,-3.804905083708832,-1.5609783143136156,-4.027403997975966,-0.557652413556724,-1.5609783143136156,-2.9120991708625183,-2.689600256595384,1.9163078301944552
Ag6Nb6,-0.65941591425414,-0.5418774301277836,-3.940454102599574,-1.3458565422133688,-3.231794019071572,-0.65941591425414,-1.3458565422133688,-1.912962190563292,-2.621622274091294,2.0957862268887766
Ag6Ni6,-0.291363443763629,1.3784944201335063,-2.3396936975240124,0.3336042190840089,-0.379339344495861,-0.291363443763629,0.3336042190840089,0.203387543031397,-1.7569668099967544,2.5439481951880225
Ag6Pb6,0.6026781380433306,7.323642737466002,0.7489693949993352,2.467777137089797,2.495192334228591,0.6026781380433306,2.467777137089797,1.2898360581419297,-0.45638688108732595,4.912930185292679
Ag6Pd6,-0.1992359022615062,2.573795953744707,-1.3318671699215656,1.758970111985036,1.1764307109168612,-0.1992359022615062,1.758970111985036,1.5749025154398737,-0.9333953653985532,3.3707395627907317
Ag6Pt6,-0.340017534158477,1.1350413797564445,-1.9758847062092852,1.0098944566907448,0.5862480404229018,-0.340017534158477,1.0098944566907448,1.2662831087398558,-1.2958496378923312,2.4951115163903523
Ag6Re6,-0.6132330256577632,-1.0184227765411151,-3.709701295314403,-1.2494696029189072,-2.237481889178639,-0.6132330256577632,-1.2494696029189072,-1.0110158378631127,-2.4832352439988767,1.4345093260899375
Ag6Rh6,-0.2951587514607752,0.7245584703497343,-2.3014631998138384,0.060057973189032,-0.0678793413845824,-0.2951587514607752,0.060057973189032,0.522438161536968,-1.711145696892288,1.905193476192835
Ag6Sc6,-0.7761592817577991,-1.427162116341492,-4.436948794709565,-1.6061654022141738,-4.581112257476093,-0.7761592817577991,-1.6061654022141738,-3.0287936939604947,-2.8846302311939667,1.6774750106897045
Ag6Sn6,0.6815708787480901,7.259654623988467,1.0166781187018614,1.9521952916893497,2.309569334936782,0.6815708787480901,1.9521952916893497,0.9464275774406019,-0.34646363879431874,4.533371108996107
Ag6Tl6,0.5993133143429361,7.268349069266264,0.7458538274969442,2.3489614865884505,2.516089316426473,0.5993133143429361,2.3489614865884505,1.3174626877406008,-0.45277280118892804,4.871095811894519
Ag6V6,-0.6302911619559097,-0.5346759374286876,-3.850381700800313,-1.5295796427108144,-3.299921664273029,-0.6302911619559097,-1.5295796427108144,-2.0393393403612095,-2.5897993768884935,1.9864887103949513
Ag6W6,-0.7226739462630292,-1.3276028741664732,-4.177145930623624,-1.5568978313185653,-3.202493889492075,-0.7226739462630292,-1.5568978313185653,-1.7571459969660168,-2.7317980380975655,1.5630929108856435
Ag6Y6,-0.8020107766596709,-1.3719585181487446,-4.498901904911577,-1.60913470851483,-4.576249311079778,-0.8020107766596709,-1.60913470851483,-2.972227757760436,-2.894880351592235,1.836084588489939
Ag9Al3,0.247755024146528,5.554277876676792,-0.507531765599083,1.3881789517890866,0.3900604935314504,0.247755024146528,1.3881789517890866,-0.10544955476160561,-1.003041813892139,4.56325778009068
Ag9Au3,0.3406195860452783,6.631745410873123,0.4422131517950447,2.9602654972895834,2.7845209107307483,0.3406195860452783,2.9602654972895834,2.1032817386401916,-0.2390260202955119,5.269267066692009
Ag9Bi3,0.4380253196441401,7.014728495371969,0.5974268851952047,2.9182787400914094,2.5424209562314672,0.4380253196441401,2.9182787400914094,1.666370316943187,-0.2786237540930755,5.2626272167954085
Ag9Co3,-0.0883542749570267,2.843287295459163,-1.4624288862086132,0.8506191519827553,0.2273437651218728,-0.0883542749570267,0.8506191519827553,0.4040523150359262,-1.2857203362945597,3.19670439528727
Ag9Cr3,-0.3059894264578986,0.9355190779543818,-2.813980362907273,-1.2269657884116896,-2.2659134313818186,-0.3059894264578986,-1.2269657884116896,-1.6539345784660213,-2.202001509991476,2.1594767837859763
Ag9Cu3,0.17736107893964,5.637338585243128,-0.3657193663146927,2.364193058687306,1.7211408463170983,0.17736107893964,2.364193058687306,1.3664186884378182,-0.7204415241939728,4.927894269484568
Ag9Fe3,-0.0167537769584384,3.297362025253392,-1.3363375921161378,0.8191611594866117,0.1653284770198979,-0.0167537769584384,0.8191611594866117,0.19883603093677468,-1.302830038199261,3.3643771330871455
Ag9Ga3,0.3677878398457608,6.20088103887349,0.1820384437979783,1.915677342489289,1.5588686158351948,0.3677878398457608,1.915677342489289,0.8232929361436732,-0.5535372358935433,4.729729679490447
